title,company,location
Full Stack .Net Developer,The Judge Group,"Carnot-Moon, PA"
.Net Software Developer,Tezza Business Solutions Ltd,"Lagos, PR"
Developer - .Net Developer (mid-level),"Quadrant, Inc.","Alexandria, MD"
Software developer/Technical support,Tezza Business Solutions Ltd,"Lagos, PR"
Architect,The Judge Group,"Carnot-Moon, PA"
.Net developer within an Agile environment,Tezza Business Solutions Ltd,"Lagos, PR"
iOS Developer,Tezza Business Solutions Ltd,"Lagos, PR"
Ruby on Rails Software Engineer,Tezza Business Solutions Ltd,"Lagos, PR"
Java Developer,Tezza Business Solutions Ltd,"Lagos, PR"
React JS  Developer,Tezza Business Solutions Ltd,"Lagos, PR"
Fullstack Java Developer,Tezza Business Solutions Ltd,"Lagos, PR"
Data Integrity – Computer System / Equipment Validation,OQSIE,"St. Louis, KS"
Inside B2B Sales - I.T. Services and Consulting,Premiere Onboard,"St. Louis, IL"
Technical Sales Officer,Tezza Business Solutions Ltd,"Lagos, PR"
Test Automation Engineer Lagos,Tezza Business Solutions Ltd,"Lagos, PR"
SQL / Ruby Developer,Tezza Business Solutions Ltd,"Lagos, PR"
Business Analyst (BA0218),Tezza Business Solutions Ltd,"Lagos, PR"
